date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:02:31	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22672c11f8-239b%22	https://israelnarbi.github.io/robots.txt		(from )
22:02:45	36273/36273	---M-Z	200	added ('OK')	text/html	etag:W/%22672ce806-8db1%22	https://israelnarbi.github.io/Belykweb-Solutions/	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/index.html	(from )
22:02:47	160302/160302	---MCZ	200	added ('OK')	text/css	etag:W/%22816af0eddd3b4822c2756227c7e7b7ee%22	https://stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	C:/My%20mod/mod/stackpath.bootstrapcdn.com/bootstrap/4.5.2/css/bootstrap.min.css	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:48	59344/59344	---M-Z	200	added ('OK')	text/css	etag:%226599bda5-317b%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	C:/My%20mod/mod/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.15.3/css/all.min.css	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:48	28292/28292	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-6e84%22	https://israelnarbi.github.io/Belykweb-Solutions/2.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/2.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:52	97262/97262	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-17bee%22	https://israelnarbi.github.io/Belykweb-Solutions/services/graphic.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/graphic.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:52	311657/311657	---M--	200	added ('OK')	image/png	etag:%22672ce806-4c169%22	https://israelnarbi.github.io/Belykweb-Solutions/LOGO.png	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/LOGO.png	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:53	69634/69634	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-11002%22	https://israelnarbi.github.io/Belykweb-Solutions/services/webdev.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/webdev.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:53	35491/35491	---M--	200	added ('OK')	image/avif	etag:%22672ce806-8aa3%22	https://israelnarbi.github.io/Belykweb-Solutions/services/digital-marketing.avif	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/digital-marketing.avif	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:53	10493/10493	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-28fd%22	https://israelnarbi.github.io/Belykweb-Solutions/services/gn-printing.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/gn-printing.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:54	39147/39147	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-98eb%22	https://israelnarbi.github.io/Belykweb-Solutions/services/IT-Training.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/IT-Training.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:56	127657/127657	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-1f2a9%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/Bisbec.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/Bisbec.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:56	568237/568237	---M--	200	added ('OK')	image/png	etag:%22672ce806-8abad%22	https://israelnarbi.github.io/Belykweb-Solutions/services/Google-Business-Profile.png	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/services/Google-Business-Profile.png	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:56	66077/66077	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-1021d%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/access.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/access.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:57	555767/555767	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-87af7%22	https://israelnarbi.github.io/Belykweb-Solutions/my%20image.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/my%20image.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:57	7640/7640	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-1dd8%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/njc.jpeg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/njc.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:57	212767/212767	---M--	200	added ('OK')	image/png	etag:%22672ce806-33f1f%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/kasa%20logo.png	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/kasa%20logo.png	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:58	28308/28308	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-6e94%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/piwc.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/piwc.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:59	355550/355550	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-56cde%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/ps-ahuakese-img.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/ps-ahuakese-img.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:59	96322/96322	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-17842%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/Hrms.jpeg.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/Hrms.jpeg.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:02:59	11809/11809	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-2e21%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/CACI.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/CACI.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:03:00	34120/34120	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-8548%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/yaven.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/yaven.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:03:00	15364/15364	---M--	200	added ('OK')	image/png	etag:%22672ce806-3c04%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/Kings%20architecture.png	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/Kings%20architecture.png	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:03:01	516872/516872	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-7e308%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/richway.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/richway.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
22:03:03	627763/627763	---M--	200	added ('OK')	image/jpeg	etag:%22672ce806-99433%22	https://israelnarbi.github.io/Belykweb-Solutions/projects/HIWC.jpg	C:/My%20mod/mod/israelnarbi.github.io/Belykweb-Solutions/projects/HIWC.jpg	(from https://israelnarbi.github.io/Belykweb-Solutions/)
